"","symbol","conc_0nM","conc_20nM","conc_200nM","conc_2000nM"
"232","CG15083",1,0.801366909869595,0.512257402556951,0.454802008503896
"233","CG15282",0.0457130791831556,0.144324829235117,0.921183632791405,1
"234","CG15309",0.167234917072243,0.320965831555906,0.856758691859619,1
"235","CG15362",0.39924329629364,0.525878057226151,0.945237981488747,1
"236","CG15365",1,0.924530061981002,0.716151914896035,0.790340252090712
"237","CG15385",0.425752246990575,0.690051967472229,0.915071409560776,1
"238","CG1542",0.709716595606325,0.933234927977641,1,0.918614756823028
"239","CG15529",1,0.69179269655979,0.471166098192881,0.310804705015036
"240","CG15544",0.0327799026058376,0.230883105357448,0.80990458911461,1
"241","CG15547",0.419040162004738,0.522744510004543,0.553337190723833,1
"242","CG15611",1,0.519678102672443,0.301639077719518,0.322126353249315
"243","CG15629",1,0.682112072357173,0.571913035480298,0.369300061029989
"244","CG15673",0.220592203960828,0.305610633687855,0.619274000621629,1
"245","CG1572",1,0.692396771496542,0.401358906140358,0.390722387218253
"246","CG15744",0.799931221382686,0.842290934035898,0.977649642321072,1
"247","CG15784",1,0.76190539762668,0.526685075047762,0.470388257498297
"248","CG1582",1,0.891749459130042,0.801866772735641,0.74307612989527
"249","CG15822",1,0.891942027077212,0.714621714709315,0.672012608258205
"250","CG15879",1,0.803938052124198,0.567356025500647,0.438844645896794
"251","CG15894",0.0451026598392459,0.127825225419611,0.497407009434078,1
"252","CG15905",0.0510214725012,0.151721934540549,0.748349046585946,1
"253","CG1607",0.316750231910187,0.654931132891064,0.915692207948663,1
"254","CG1640",1,0.866059770218178,0.683129744356577,0.63651554550377
"255","CG1648",1,0.790318659939903,0.465285525141891,0.377630249474333
"256","CG1673",1,0.856007043758863,0.654189520405532,0.649999208943473
"257","CG16734",1,0.921760499800296,0.693723496863367,0.573990210962862
"258","CG16791",1,0.901575385958662,0.80905151838714,0.85888548907751
"259","CG16959",0.430646878556147,0.551485067094939,0.655260221439102,1
"260","CG1698",1,0.748025086414343,0.443675863646734,0.40201421966965
"261","CG17032",1,0.983156388499006,0.604222197736404,0.558444481003125
"262","CG17121",0.987333780912685,1,0.719951953164036,0.674654743160154
"263","CG17211",0.375363229366279,0.539443718297623,0.798812702926082,1
"264","CG17221",1,0.789605778700715,0.713145027086709,0.636340368665112
"265","CG17278",0.66728542328287,0.788950269301979,0.962070700409302,1
"266","CG17544",1,0.550098839272252,0.272449081899216,0.253376838632373
"267","CG1764",1,0.840568935181807,0.703276149555728,0.665566371303403
"268","CG17646",0.242121968219763,0.389482610608171,0.763361399564852,1
"269","CG17672",0.243701202467518,0.381030960583109,0.667417372738842,1
"270","CG17691",1,0.881119589662234,0.704535229230257,0.706377485842689
"271","CG17716",1,0.272625595825966,0.169801298884446,0.20417957290093
"272","CG17746",0.806957817550339,0.900650845987899,0.962041229400711,1
"273","CG17834",0.13319370745572,0.300343541082743,0.717802103321234,1
"274","CG17896",1,0.813714189114982,0.785888037109035,0.78666087494704
"275","CG1806",0.526156832822943,0.676277902038096,0.903055149922604,1
"276","CG18130",0.0954976379805761,0.194863042634333,0.389002424195386,1
"277","CG1824",1,0.862382316053725,0.775998745349567,0.718425826326661
"278","CG18507",1,0.746338499668753,0.527112144156217,0.552321128686897
"279","CG18549",0.357586741988757,0.592331437618888,0.821529415546031,1
"280","CG18788",0.293041581066147,0.57229261736517,0.79627906807778,1
"281","CG1888",1,0.648683453224464,0.336253086780422,0.271270877565486
"282","CG1943",1,0.933189362970318,0.82403559672331,0.848877982758529
"283","CG2003",0.208712572517811,0.7986481498733,1,0.801576408013838
"284","CG2017",1,0.793139859899517,0.77454741326478,0.75132168610938
"285","CG2246",1,0.920530817744247,0.807089913713181,0.757310111683887
"286","CG2277",1,0.297308829885527,0.232338789550823,0.1587005312149
"287","CG2641",0.96706775420351,1,0.650177138956173,0.609277673587731
"288","CG2694",1,0.833107733284398,0.783868209633762,0.673588760072932
"289","CG2765",1,0.869215807512425,0.756732904640542,0.805832157705579
"290","CG2794",1,0.907978539930946,0.742174439676194,0.714144682039869
"291","CG2841",0.638867472100932,0.690567355132373,0.939061397231962,1
"292","CG2852",0.54529085439759,0.723322896267873,1,0.995145517426193
"293","CG2865",0.711746211238843,0.979090468765455,1,0.920289382781664
"294","CG2918",0.77931194648523,0.824128510370276,1,0.958723303131485
"295","CG30069",1,0.722273626868508,0.475283890145683,0.471856447129689
